0,100,100,0,3000,2000,50000,55000
10,100,577,10,6547.0,11181.0,37272.0,55000.0
20,100,1206,20,8453.0,25265.0,21282.0,55000.0
30,100,1560,30,9152.0,32118.0,13730.0,55000.0
40,100,1698,40,9312.0,33749.0,11939.0,55000.0
50,99,1748,50,9460.0,33666.0,11874.0,55000.0
60,98,1753,60,9595.0,33578.0,11827.0,55000.0
70,94,1779,70,9714.0,33497.0,11789.0,55000.0
80,92,1773,80,9735.0,33315.0,11950.0,55000.0
90,89,1783,90,9784.0,33107.0,12109.0,55000.0
100,88,1778,100,9932.0,33020.0,12048.0,55000.0
110,87,1799,110,10025.0,32994.0,11981.0,55000.0
