0,100,100,0,3000,2000,50000,55000
10,100,586,10,6402.0,11463.0,37135.0,55000.0
20,100,1207,20,8241.0,25459.0,21300.0,55000.0
30,100,1581,30,8946.0,32634.0,13420.0,55000.0
40,97,1714,40,9049.0,34002.0,11949.0,55000.0
50,96,1763,50,9131.0,34236.0,11633.0,55000.0
60,93,1758,60,9157.0,33748.0,12095.0,55000.0
70,92,1774,70,9260.0,33955.0,11785.0,55000.0
80,91,1788,80,9309.0,33914.0,11777.0,55000.0
90,90,1768,90,9401.0,33558.0,12041.0,55000.0
100,87,1769,100,9457.0,33723.0,11820.0,55000.0
110,85,1799,110,9569.0,33742.0,11689.0,55000.0
120,84,1799,120,9667.0,33444.0,11889.0,55000.0
