0,100,100,0,3000,2000,450000,455000
10,100,678,10,6962.0,13759.0,434279.0,455000.0
20,100,2390,20,10483.0,58028.0,386489.0,455000.0
30,100,6249,30,13199.0,157973.0,283828.0,455000.0
40,100,10684,40,14614.0,267636.0,172750.0,455000.0
50,99,13356,50,15197.0,321204.0,118599.0,455000.0
60,97,14455,60,15410.0,335371.0,104219.0,455000.0
70,96,14868,70,15529.0,336960.0,102511.0,455000.0
80,94,15005,80,15635.0,336030.0,103335.0,455000.0
90,93,15005,90,15683.0,335957.0,103360.0,455000.0
100,90,15010,100,15754.0,335488.0,103758.0,455000.0
110,90,15030,110,15908.0,335419.0,103673.0,455000.0
120,90,15027,120,16038.0,335367.0,103595.0,455000.0
130,89,14988,130,16143.0,335042.0,103815.0,455000.0
140,82,15013,140,16197.0,335727.0,103076.0,455000.0
150,82,14971,150,16308.0,334793.0,103899.0,455000.0
160,81,14980,160,16342.0,335384.0,103274.0,455000.0
170,78,15036,170,16437.0,335643.0,102920.0,455000.0
180,75,15014,180,16548.0,334431.0,104021.0,455000.0
190,71,15073,190,16681.0,335269.0,103050.0,455000.0
200,68,15071,200,16773.0,334370.0,103857.0,455000.0
210,65,15061,210,16797.0,334392.0,103811.0,455000.0
220,65,15042,220,16874.0,334400.0,103726.0,455000.0
230,65,15060,230,16954.0,334620.0,103426.0,455000.0
240,62,15071,240,17014.0,333917.0,104069.0,455000.0
250,61,15046,250,17166.0,333661.0,104173.0,455000.0
260,58,15038,260,17267.0,334097.0,103636.0,455000.0
270,58,15058,270,17353.0,334026.0,103621.0,455000.0
280,58,15041,280,17419.0,333785.0,103796.0,455000.0
290,58,15051,290,17497.0,333289.0,104214.0,455000.0
300,56,15020,300,17562.0,333832.0,103606.0,455000.0
310,53,15033,310,17508.0,334077.0,103415.0,455000.0
320,53,15061,320,17563.0,333499.0,103938.0,455000.0
330,52,15100,330,17605.0,333925.0,103470.0,455000.0
340,52,15163,340,17737.0,333986.0,103277.0,455000.0
350,52,15106,350,17800.0,333548.0,103652.0,455000.0
360,52,15089,360,17887.0,333734.0,103379.0,455000.0
370,52,15047,370,17973.0,333250.0,103777.0,455000.0
380,52,15108,380,18089.0,333594.0,103317.0,455000.0
390,51,15078,390,18122.0,333616.0,103262.0,455000.0
400,49,15048,400,18112.0,332847.0,104041.0,455000.0
410,49,15044,410,18220.0,332440.0,104340.0,455000.0
420,48,15074,420,18259.0,333338.0,103403.0,455000.0
430,48,15025,430,18387.0,332428.0,104185.0,455000.0
440,47,15077,440,18399.0,332778.0,103823.0,455000.0
450,47,15075,450,18478.0,333373.0,103149.0,455000.0
460,47,15108,460,18511.0,333324.0,103165.0,455000.0
470,45,15059,470,18510.0,332290.0,104200.0,455000.0
480,43,15000,480,18490.0,332626.0,103884.0,455000.0
490,42,15066,490,18562.0,332721.0,103717.0,455000.0
500,42,15080,500,18601.0,332295.0,104104.0,455000.0
510,41,15054,510,18656.0,332599.0,103745.0,455000.0
520,40,15019,520,18670.0,332403.0,103927.0,455000.0
530,37,15051,530,18676.0,332364.0,103960.0,455000.0
540,36,15116,540,18702.0,332552.0,103746.0,455000.0
550,36,15153,550,18710.0,332536.0,103754.0,455000.0
560,34,15135,560,18726.0,332806.0,103468.0,455000.0
570,33,15066,570,18833.0,331697.0,104470.0,455000.0
580,33,15037,580,18861.0,331850.0,104289.0,455000.0
590,31,15054,590,18904.0,332223.0,103873.0,455000.0
600,30,15043,600,18938.0,332593.0,103469.0,455000.0
610,29,15054,610,18966.0,332544.0,103490.0,455000.0
620,29,15060,620,18963.0,332152.0,103885.0,455000.0
630,29,15106,630,18989.0,332302.0,103709.0,455000.0
640,29,15025,640,19031.0,332205.0,103764.0,455000.0
650,27,15063,650,19046.0,332119.0,103835.0,455000.0
660,27,15080,660,19089.0,332344.0,103567.0,455000.0
670,26,15085,670,19131.0,332068.0,103801.0,455000.0
680,26,15097,680,19210.0,332084.0,103706.0,455000.0
690,26,15061,690,19255.0,332003.0,103742.0,455000.0
700,26,15103,700,19288.0,332358.0,103354.0,455000.0
710,26,15102,710,19318.0,332553.0,103129.0,455000.0
720,26,15077,720,19396.0,332126.0,103478.0,455000.0
730,26,15129,730,19420.0,331691.0,103889.0,455000.0
740,26,15088,740,19531.0,331069.0,104400.0,455000.0
750,26,15115,750,19570.0,331698.0,103732.0,455000.0
760,26,15114,760,19585.0,331444.0,103971.0,455000.0
770,26,15123,770,19606.0,331481.0,103913.0,455000.0
780,25,15064,780,19635.0,330810.0,104555.0,455000.0
790,25,15051,790,19668.0,331202.0,104130.0,455000.0
800,25,15127,800,19676.0,331477.0,103847.0,455000.0
810,25,15080,810,19711.0,331257.0,104032.0,455000.0
820,24,15098,820,19727.0,331048.0,104225.0,455000.0
830,24,15103,830,19720.0,331229.0,104051.0,455000.0
840,24,15120,840,19769.0,332226.0,103005.0,455000.0
850,24,15114,850,19807.0,330922.0,104271.0,455000.0
860,23,15155,860,19871.0,331472.0,103657.0,455000.0
870,23,15123,870,19887.0,331170.0,103943.0,455000.0
880,23,15126,880,19888.0,331704.0,103408.0,455000.0
890,23,15103,890,19962.0,331167.0,103871.0,455000.0
900,23,15096,900,19960.0,331638.0,103402.0,455000.0
910,23,15064,910,19962.0,330977.0,104061.0,455000.0
